,ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAtext,MisconceptionBtext,MisconceptionCtext,MisconceptionDtext
285,Rearrange formulae to change the subject where the subject appears once and two steps are needed,Rearranging Formula and Equations,B,Rearrange the following equation to make \( \omega \) the subject \( F=r \omega^{2} \),\( \omega=r F^{2} \),\( \omega=\sqrt{\frac{F}{r}} \),\( \omega=\sqrt{r F} \),\( \omega=\frac{\sqrt{F}}{r} \),"When solving an equation, uses the same operation rather than the inverse.",nan,"When solving an equation, uses the same operation rather than the inverse.",Does not reverse the order of operations when solving an equation
286,Divide mixed number fractions in the form: Fraction ÷ Integer,Dividing Fractions,A,"\(
2 \frac{2}{3} \div 2
\)
Which of the following is a correct way to write the answer to this calculation?",\( 1 \frac{1}{3} \),\( 1 \frac{2}{3} \),\( 2 \frac{1}{3} \),\( \frac{3}{4} \),nan,"When the dividend is a mixed number and the divisor is an integer, thinks they only perform the calculation with the integers.","When the dividend is a mixed number and the divisor is an integer, thinks they only divide the fraction by the integer.",Believes division is commutative 
287,Identify a unit of time,Time,A,"Tom and Katie are discussing units of time 
Tom says days is a unit of time 
Katie says \( \mathrm{km} / \mathrm{h} \) is a unit of time 
Who is correct?",Only Tom,"Only
Katie",Both Tom and Katie,Neither is correct,nan,Mistakes unit of speed for unit of time,Mistakes unit of speed for unit of time,Does not recognise a unit of time
288,Substitute negative integer values into formulae involving powers or roots,Substitution into Formula,D,"\(
F=3^{a}
\)

What is the value of \( F \) when \( a=-5 \) ?",\( -243 \),\( -\frac{1}{243} \),\( -15 \),\( \frac{1}{243} \),Believes a negative power results in a negative answer,Believes a negative power results in a negative answer,Has multiplied the base number and the power,nan
289,Multiply 3 digit integers by 1 digit integers using long multiplication,Written Multiplication,B,"Charlotte is trying to solve this problem using long multiplication.

What should replace the star as the tens digit in her final answer? \( 538 \times 7 \) \begin{tabular}{r|r|r|r|}
\(\space\) & \( 5 \) & \( 3 \) & \( 8 \) \\
\( \times \) & \(\space\) & \(\space\) & \( 7 \) \\
\hline & \(\space\) & \(\bigstar\) & \\
\hline
\end{tabular}",\( 1 \),\( 6 \),\( 0 \),\( 5 \),Forgets to carry the tens when doing column multiplication,nan,Tries to multiply within place value columns during column multiplication,nan
290,Prove statements involving positive and negative numbers,Algebraic Proof,B,Which of these could be used as a counter - example to disprove Katie's theory that \( 2 n^{2}-1 \) is positive?,\( 2\left(\frac{3}{4}\right)^{2}-1 \),\( 2(0.5)^{2}-1 \),\( 2(-2)^{2}-1 \),\( 2(-1)^{2}-1 \),nan,nan,Believes multiplying two negatives gives a negative answer,Believes multiplying two negatives gives a negative answer
291,Solve linear simultaneous equations requiring a scaling of both expressions,Simultaneous Equations,A,"What is the value of \( l \) in these simultaneous equations?
\(
\begin{array}{l}
2 l+3 m=13 \\
3 l+4 m=17
\end{array}
\)",\( l=-1 \),\( l=5 \),\( l=1 \),\( l=4 \),nan,nan,Believes subtraction is commutative ,nan
292,Multiply proper fractions in the form: Fraction × Integer,Multiplying and Dividing Negative Numbers,C,\( \frac{1}{3} \times(-6)= \),\( -18 \),\( -\frac{6}{18} \),\( -2 \),\( -\frac{1}{18} \),nan,nan,nan,"When multiplying a fraction by an integer, multiplies the denominator instead of the numerator"
293,Represent an equation using a bar model,Writing Expressions,B,"Tom and Katie are discussing bar models. Tom says this bar model represents \( 5 x \) \begin{tabular}{l|l}
\hline \( 5 \) & \( x \) \\
\hline
\end{tabular} Katie says this bar model represents \( 5 x \) \begin{tabular}{l|l|l|l|l|}
\( x \) & \( x \) & \( x \) & \( x \) & \( x \) \\
\hline
\end{tabular} Who do you agree with?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,Does not understand bar modelling in algebra,nan,Does not understand bar modelling in algebra,Does not understand bar modelling in algebra
294,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",Properties of Polygons,D,Tom and Katie are discussing regular polygons Tom says this is a regular polygon: ![A rhombus]() Katie says this is a regular polygon: ![A rectangle]() Who is correct?,"Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,Thinks that only the sides need to be equal for a polygon to be regular,Thinks that only the angles need to be the same for a polygon to be regular,Does not understand that all angles and sides must be equal for regular shapes,nan
295,"Given a positive x value, find the corresponding y value for curves in the form y = x² + c",Plotting Quadratics from Tables of Values,A,"This is a part of the table of values for the equation
\(
y=x^{2}-1
\) \begin{tabular}{|c|c|}
\hline\( x \) & \( 5 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) \\
\hline
\end{tabular} What should replace the star?",\( 24 \),\( 9 \),\( 16 \),\( 8 \),nan,Mixes up squaring and multiplying by 2 or doubling,Believes order of operations does not affect the answer to a calculation,nan
296,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,Quadratic Equations,C,"Mo wants to solve this equation using the quadratic formula.
\(
5 h^{2}-3 h-2=0
\)

What total should replace the square? \( \begin{array}{l} \frac{ ?\pm \sqrt{9-(-40)}}{?} \\ = \frac{ ?\pm \sqrt{\square}}{?} \end{array} \)",\( 31 \),\( -49 \),\( 49 \),\( -31 \),nan,"When subtracting a negative number, adds the absolute values and then writes the answer with a negative sign",nan,"When subtracting a negative number, subtracts the absolute value rather than adding it"
297,Use common conventions for labelling the sides of shapes,Properties of Quadrilaterals,D,"Which of the following is a correct way to describe the highlighted side of this shape? ![A  4 sided shape with two pairs of parallel sides. Each vertex (corner) is labelled with a letter. The bottom right is S, the bottom left is P, the top left is Q and the top right is R. The side joining P and Q is highlighted in red.]()",\( Q \),P,QPRS,\( Q P \),Does not know that a single letter labels a vertex,Does not know that a single letter labels a vertex,Does not know the correct notation for labelling a side length,nan
298,"Multiply algebraic terms, involving non-linear versions of different letters (e.g. 4a2 x 5ab)",Laws of Indices,B,\( 5 p^{2} \times 2 p q \equiv \),\( 10 p q^{3} \),\( 10 p^{3} q \),\( 7 p^{3} q \),Does not simplify,nan,nan,Adds instead of multiplies when multiplying algebraic terms,Does not understand how to multiply algebraic terms
299,Interpret and carry out mental division using a bar model,Mental Multiplication and Division,C,"Tom and Katie are discussing this bar model ![A comparison bar model showing 188 is the same as four lots of 47]() Tom uses the bar model to write:
\[
188 \div 4=47
\] Katie uses the bar model to write:
\[
188 \div 47=4
\] Who do you agree with?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,Does not know how to use a bar model to write division facts,Does not know how to use a bar model to write division facts,nan,Does not know how to use a bar model to write division facts
300,Order fractions whose denominators are multiples of the same number ,"Averages (mean, median, mode) from a List of Data",D,"\begin{tabular}{llllll}
\( \frac{2}{10} \) & \( \frac{9}{50} \) & \( \frac{9}{20} \) & \( 0.21 \) & \( \frac{1}{5} \) & \( \frac{19}{100} \) \\
\hline
\end{tabular} Which value is the outlier in this set of data?",\( \frac{2}{10} \),\( \frac{19}{100} \),\( 0.21 \),\( \frac{9}{20} \),Believes an outlier is a value that does not fit the same characteristics as the other values,"Believes an outlier is the value in a data set with the biggest denominator, even if this value is close to the mean",Believes an outlier is a value that does not fit the same characteristics as the other values,nan
301,Find missing angles using angles around a point,"Basic Angle Facts (straight line, opposite, around a point, etc)",B,"What is the size of angle \( x \) ? ![Angles around a point, split into 2 parts. One is labelled 310 degrees and the other x.]()",\( 310^{\circ} \),\( 50^{\circ} \),\( 90^{\circ} \),\( 45^{\circ} \),Incorrectly identifies angles as vertically opposite,nan,Does not know that angles around a point sum to 360,Estimates angle rather than calculating
302,Simplify an algebraic fraction by factorising both the numerator and denominator,Simplifying Algebraic Fractions,B,"Write the following as simply as possible:
\(
\frac{(x+3)(x+5)}{(x+3)(x+10)}
\)",\( \frac{x+1}{x+2} \),\( \frac{x+5}{x+10} \),\( \frac{x^{2}+8 x+15}{x^{2}+13 x+30} \),\( \frac{1}{2} \),Misunderstands the concept of common factors in algebra,nan,Expands when asked to simplify,nan
303,Calculate the surface area of a cuboid where the dimensions are given in the same units,Surface Area of Prisms,D,"Which of the following calculations would give you the total surface area of this cuboid in \( \mathrm{cm}^{2} \) ? ![A cuboid. The height is 4cm, the depth is 3cm and the width is 6cm.]()",\( (6 \times 4)+(6 \times 3)+(4 \times 3) \),\( 6 \times 4 \times 3 \),\( (6 \times 4) \times(6 \times 3) \times(4 \times 3) \),\( [(6 \times 4)+(6 \times 3)+(4 \times 3)] \times 2 \),"When calculating surface area, only includes visible faces",Finds volume when asked for surface area,"When calculating surface area, only includes visible faces",nan
304,Use the order of operations to carry out calculations involving brackets,BIDMAS,C,"\[
1+2 \times(3-4)=
\]

Which calculation should you do first?",\( 1+2 \),\( 2 \times 3 \),\( 3-4 \),It doesn't matter: you get the same answer,Carries out operations from left to right regardless of priority order,Answers order of operations questions with brackets as if the brackets are not there,nan,Believes order of operations does not affect the answer to a calculation
305,"Solve one-step linear equations requiring multiplication or division, involving positive fractions",Linear Equations,D,"Solve the equation:
\(
5 p=\frac{1}{10}
\)",\( p=\frac{1}{2} \),\( p=\frac{1}{5} \),\( p=2 \),\( p=\frac{1}{50} \),"When solving an equation, uses the same operation rather than the inverse.",nan,nan,nan
306,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",BIDMAS,B,"Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?","Problem P: \( 4-5 \)
Problem Q: \( 4+5 \)","Problem P: \( 4-5 \)
Problem Q: \( 5 \times 6 \)","Problem P: \( 5+6 \)
Problem Q: \( 4+5 \)","Problem P: \( 5+6 \)
Problem Q: \( 5 \times 6 \)",Carries out operations from left to right regardless of priority order,nan,Performs addition ahead of any other operation,"Applies BIDMAS in strict order (does not realize addition and subtraction, and multiplication and division, are of equal priority)"
307,Use the nth term rule of an ascending integer linear sequence to test whether a term belongs in the sequence or not,Linear Sequences (nth term),A,"Eliza is trying to work out if \( 82 \) is a term in the sequence \( 3 n+1 \)

Below is her working out. What conclusion should Eliza draw?

 \( \begin{aligned} 3 n+1 & =82 \\ 3 n & =81 \\ n & =27\end{aligned} \)",\( 82 \) is in the sequence and is the \( 27^{\text {th }} \) term,\( 27 \) is in the sequence and is the \( 82^{\text {nd }} \) term,\( 82 \) is not in the sequence because \( 27 \) is an integer,Eliza's method does not answer this question,nan,Mixes up term in a sequence and position of a term,Believes the position of a sequence cannot be an integer,Does not know how to calculate the position of a term in a sequence
308,Simplify an algebraic fraction by factorising the numerator,Simplifying Algebraic Fractions,B,"Simplify the following, if possible: \( \frac{t^{2}+2 t+1}{t+1} \)",\( t+2 \),\( t+1 \),\( t^{2}+t \),Does not simplify,Incorrectly cancels what they believe is a factor in algebraic fractions,nan,Simplifies a fraction by adding or subtracting the same amount from the numerator  and denominator,Does not recognise factorising a quadratic
309,Multiply proper fractions in the form: Fraction × Fraction,Multiplying Fractions,D,Which calculation gives the fraction that replaces the question mark? ![A horizontal bar divided into 4 equal sections with vertical lines. The left hand section of these is coloured green and is further divided into 2 equal sections with vertical dotted lines. A curly bracket shows that the width of one of these green sections is denoted by a question mark.](),\( \frac{2}{5} \times \frac{1}{2} \),\( \frac{1}{4} \div \frac{1}{2} \),\( \frac{2}{5} \div 2 \),\( \frac{1}{4} \times \frac{1}{2} \),Does not understand parts must be equal in a fraction diagram,Divides rather than multiplies ,Does not understand parts must be equal in a fraction diagram,nan
310,Label angles using correct 3-letter notation (e.g. angle ADB),"Types, Naming and Estimating",C,"Which of the following correctly describes the marked angle? ![An image of square ABCE. D lies 1/3 from C on the line CE and is connected to A by a line. Attached to the square at line CE is a pentagon CEFGH. G is connected to C and E by lines. The angle highlighted is the entire, interior angle at E.]()",EFA,GEA,AEF,E,Gives 3-letter angle notation in the wrong order,nan,nan,Gives the vertex instead of the 3-letter angle notation
311,Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,Linear Sequences (nth term),B,"Jo and Paul are arguing about the best way to count the number of squares in Pattern \( 15 \).
Jo does: \( 15 \times 3+4 \)
Paul does: \( (15+2) \times 3-4 \)
Who is correct? ![The 3rd and 4th terms in a sequence of patterns. Each pattern is made from red squares. Pattern 3 is 11 squares: they are arranged as a rectangle, 3 squares high and 3 squares wide and then 2 more squares, 1 each side of the middle squares (vertically). Pattern 4 is 14 squares arranged as a rectangle, 3 squares high and 4 squares wide and then 2 more squares, 1 each side of the middle squares.]()",Only Jo,Only Paul,Both Jo and Paul,Neither is correct,Believes nth term rules for patterns must be given in standard an + b form,nan,nan,Believes nth term rules for patterns must be given in standard an + b form
312,Write algebraic expressions with correct algebraic convention involving powers,Multiplying Terms,C,"Simplify, if possible:
\(
a^{2} \times a
\)",\( 2 a^{2} \),\( 3 a \),\( a^{3} \),Does not simplify,Does not understand how to multiply algebraic terms,Multiplies by the index,nan,Does not understand how to multiply algebraic terms
313,Carry out multiplication problems involving one negative integer,Multiplying and Dividing Negative Numbers,B,\( 3 \times(-5)= \),\( 15 \),\( -15 \),\( 8 \),\( -8 \),"When multiplying with negative numbers, assumes any negative sign can be ignored",nan,nan,nan
314,Convert the reminders from written division problems into decimals,Written Division,B,"John has been asked to work out the answer to:
\[
232 \div 5
\]
He gets the answer \( 46 \) remainder \( 2 \)
What is the exact value of that remainder?",\( 0.2 \),\( 0.4 \),\( 2 \),\( 0.25 \),Writes the remainder as the digit after the decimal point,nan,Does not understand remainders in division,Does not understand remainders in division
315,"Subtract algebraic fractions where the denominators are linear expressions, eg (x + 5) and (x - 3), and the numerators are single terms",Adding and Subtracting Algebraic Fractions,C,"STEP \( 1 \)
Which of the options is a correct first step to express the following as a single fraction?
\(
\frac{3}{x-2}-\frac{5}{x}
\)",\( \frac{3-5}{x-2-x} \),\( \frac{3(x-2)}{x(x-2)}-\frac{5 x}{x(x-2)} \),\( \frac{3 x}{x(x-2)}-\frac{5(x-2)}{x(x-2)} \),\( 9 x-5(x-2) \),"When subtracting fractions, subtracts the numerators and denominators",Does not understand how to maintain equivalence in fractions,nan,Removes the common denominator when making equivalent algebraic fractions
316,Round numbers between 0 and 1 to two significant figures,Rounding to Decimal Places,B,Which of the numbers is the same when rounded to \( 2 \) decimal places or to \( 2 \) significant figures?,\( 23.725 \),\( 0.391 \),\( 0.038 \),\( 0.0599 \),Rounds to wrong degree of accuracy (decimal places rather than significant figures),nan,Does not understand the first significant value is the first non-zero digit number,Does not understand the first significant value is the first non-zero digit number
317,Add decimals with the same number of decimals places,Adding and Subtracting with Decimals,D,\( 1.39+2.53= \),\( 4.01 \),\( 3.812 \),\( 3.82 \),\( 3.92 \),"When adding decimals, just adds the digits and ignores place value","When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit","When two digits sum to 10 or more during an addition problem, does not add one to the preceding digit",nan
318,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,Quadratic Equations,C,"Which option gives a correct substitution into the quadratic formula to solve the quadratic equation?

\(
3 x^{2}+2 x-5=0
\)",\( -2 \pm \frac{\sqrt{2^{2}-4(3)(-5)}}{2(3)} \),\( 2 \pm \frac{\sqrt{2^{2}-4(3)(-5)}}{2(3)} \),\( \frac{-2 \pm \sqrt{2^{2}-4(3)(-5)}}{2(3)} \),\( \frac{2 \pm \sqrt{2^{2}-4(3)(-5)}}{2(3)} \),Misremembers the quadratic formula,Misremembers the quadratic formula,nan,Misremembers the quadratic formula
319,Divide two decimals with the same number of decimal places,Multiplying and Dividing with Decimals,A,"What should replace the star?
\(
0.3 \div \bigstar=1.2
\)",\( 0.25 \),\( 0.4 \),\( 4 \),\( 0.9 \),nan,nan,"When solving an equation, multiplies instead of dividing ","When solving an equation, adds instead of dividing"
320,"Calculate compound area involving just rectangles and squares, where the dimensions are given in the same units",Compound Area,C,"What is the area of this compound shape made with rectangles? ![Compound shape made of two rectangles with the sides labelled 10 cm, 7 cm, 3 cm and 4 cm. Two sides are unlabelled]()",\( 840 \mathrm{~cm}^{2} \),\( 52 \mathrm{~cm}^{2} \),\( 42 \mathrm{~cm}^{2} \),\( 51 \mathrm{~cm}^{2} \),Multiplies all given dimensions when calculating an area,Makes an assumption about line segments being equal within a shape,nan,Uses an incorrect side length when splitting a composite shape into parts
321,Expand two brackets with linear terms in the form (ax + b)(cx + d),Expanding Double Brackets,A,"Alison is expanding these two brackets.

What should she get when she multiplies the two terms indicated by the arrows? ![The two brackets are (5p-4)(2p-3). The arrows are pointing at the 5p in the first bracket and the -3 in the second bracket.]()",\( -15 p \),\( +15 p \),\( +2 p \),\( +8 p \),nan,Believes multiplying a positive by a negative gives a positive answer,Adds instead of multiplying when expanding bracket,nan
322,Multiply a decimal by an integer,Multiplying and Dividing with Decimals,B,"Work out:
\[
0.3 \times 12
\]",\( 36 \),\( 3.6 \),\( 0.36 \),\( 0.036 \),"When multiplying decimals, ignores place value and just multiplies the digits",nan,"When multiplying a decimal less than 1 by an integer, gives an answer 10 times smaller than it should be","When multiplying a decimal less than 1 by an integer, gives an answer 100 times smaller than it should be"
323,Factorise a quadratic expression in the form x² + bx + c,Factorising into a Double Bracket,B,Factorise \( x^{2}+15 x+36 \) Factorise \( x^{2}+15 x+36 \),\( (x+4)(x+9) \) \( (x+4)(x+9) \),\( (x+3)(x+12) \) \( (x+3)(x+12) \),\( (x+1)(x+36) \) \( (x+1)(x+36) \),\( (x+7)(x+18) \) \( (x+7)(x+18) \),"Believes that when factorising a quadratic, they can choose any two numbers that multiply to give the constant",nan,"Believes that when factorising a quadratic, they can choose any two numbers that multiply to give the constant","Believes that when factorising a quadratic, they can choose any two numbers that add to give the coefficient of x"
324,Identify a kite from a description of the properties,Properties of Polygons,C,Which of the following quadrilaterals could not be classified as a kite?,Square,Rhombus,Trapezium,None of them are kites,Does not recognise the properties of a kite,Does not recognise the properties of a kite,nan,Does not believe a shape can have two correct names e.g. rectangle and parallelogram
325,Identify the number of degrees in fractions of a turn,Measuring Angles,A,How many degrees are there in \( 1 \frac{1}{4} \) full turns?,\( 450^{\circ} \),\( 385^{\circ} \),\( 125^{\circ} \),\( 90^{\circ} \),nan,Assumes a 1/4 of a whole is 25,Believes there are 100 degrees in a full turn,nan
326,Find a negative reciprocal,Perpendicular Lines,B,\( \frac{2}{5} \times \star=-1 \) What should replace the star?,\( \frac{5}{2} \),\( -\frac{5}{2} \),\( \frac{2}{5} \),\( -\frac{2}{5} \),nan,nan,nan,"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation"
327,Round non-integers to the nearest 10,"Rounding to the Nearest Whole (10, 100, etc)",D,What is \( \mathbf{9 9 9 . 9 9 9} \) rounded to the nearest ten?,\( 990 \),\( 100 \),\( 900 \),\( 1000 \),Rounds down instead of up,"When rounding up from a 9, does not add one on to the digit to the left",Rounds down instead of up,nan
328,Add proper fractions with different denominators where one is a multiple of the other,Adding and Subtracting Fractions,A,"Calculate:
\(
\frac{2}{9}+\frac{1}{3}
\)",\( \frac{5}{9} \),\( \frac{3}{12} \),\( \frac{3}{9} \),\( \frac{1}{6} \),nan,"When adding fractions, adds the numerators and denominators",Does not consider the denominator when adding/ subtracting fractions. Adds/subtracts the numerator and makes the denominator the one with the highest value.,Subtracts instead of adds
329,Answer decimal problems that require the use of BIDMAS,BIDMAS,A,"Tom and Katie are discussing the order of operations
Tom says: \( 0.1-0.2 \div 0.3 \equiv 0.1-(0.2 \div 0.3) \)
Katie says: \( 0.1-0.2 \div 0.3 \equiv 0.2 \div 0.3-0.1 \)
Who is correct?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,nan,Carries out operations from left to right regardless of priority order,Performs subtraction right to left if priority order means doing a calculation to the right first,Carries out operations from left to right regardless of priority order
330,Subtract fractions involving mixed number fractions with different denominators,Adding and Subtracting Fractions,D,"\(
2 \frac{2}{5}-\frac{1}{15}=2 \frac{1}{\bigstar}
\)
What should replace the star?",\( 10 \),\( 15 \),\( 5 \),\( 3 \),"When subtracting fractions, subtracts the numerators and denominators",Forgot to simplify the fraction,Believes when simplifying a fraction you can divide the numerator and denominator by different values,nan
331,"Calculate coordinates of points on the graph of y = ax, where x is a positive integer ",Graphs of Exponentials and Other Powers of x,C,"This is a part of the table of values for the equation \( \boldsymbol{y}=\mathbf{9}^{x} \) \begin{tabular}{|c|c|}
\hline\( x \) & \( 0 \) \\
\hline\( y \) & \(\color{gold}\bigstar\) \\
\hline
\end{tabular} What should replace the star?",\( 9 \),\( 0 \),\( 1 \),The equation is undefined at this value,Forgotten that anything to the power of 0 equals 1,Forgotten that anything to the power of 0 equals 1,nan,Forgotten that anything to the power of 0 equals 1
332,"Solve two-step linear equations, with the variable on one side, with all positive integers",Linear Equations,A,"Tom and Katie are discussing how to solve:
\(
\frac{x}{3}-5=12
\)

Tom says a correct next line of working could be: \( \frac{x}{3}=17 \)

Katie says a correct next line of working could be: \( x-5=36 \)
Who is correct?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,nan,Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount,Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount,"When solving an equation, uses the same operation rather than the inverse."
333,Subtract decimals where the numbers involved have a different number of decimal places,Adding and Subtracting with Decimals,A,\( 0.26-0.6= \),\( -0.34 \),\( 0.34 \),\( -0.44 \),\( 0.2 \),nan,Believes subtraction is commutative ,"Believes you subtract the smaller digit from the larger digit in column subtraction, regardless of position","When subtracting decimals with a different number of decimal places, lines up the digits incorrectly"
334,Represent positive unit fractions on a number line,Probability of Single Events,B,"The probability of picking a green ball is \( \frac{1}{5} \) Where is this value on the probability scale? ![B
c
D]()",A,B,C,D,nan,nan,Converts a fraction to a decimal by using the denominator after the decimal point,nan
335,Recognise and use efficient strategies for mental subtraction,Mental Addition and Subtraction,C,"Jo and Paul are discussing mental addition and subtraction strategies.

Jo says a good way to add \( 19 \) is to add \( 10 \), then another \( 10 \) and then subtract \( 1 \).

Paul says a good way to subtract \( 19 \) is to subtract \( 10 \), then another \( 10 \) and then add \( 1 \).

Who is correct?","Only
Jo","Only
Paul",Both Jo and Paul,Neither is correct,Does not understand the effect of consecutive operations,Does not understand the effect of consecutive operations,nan,Does not understand the effect of consecutive operations
336,Interpret a pictogram involving fractions of symbols,Pictogram,D,"![A pictogram where one smiley face =8 people. Game 1 has 4 faces. Game 2 has 3 faces. Game 3 has 2 faces. Game 4 has 2.75 faces.]() The pictogram shows the number of people who went to watch a netball match.
How many people went to game 4?",\( 24 \),\( 16 \),\( 2.75 \),\( 22 \),Counts partial symbols as if they were whole on pictograms,Ignores partial symbols on pictograms,"When interpreting a pictogram, thinks each symbol stands for 1",nan
337,"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,D,"Jo and Paul are arguing about percentages.
Jo says \( 52 \%=0.052 \)
Paul says \( 52 \%<\frac{20}{41} \)
Who is correct?","Only
Jo","Only
Paul",Both Jo and Paul,Neither is correct,Divides by 1000 instead of 100 when converting a percentage to a decimal,nan,nan,nan
338,Identify equivalent fractions when presented as numbers,Equivalent Fractions,D,Complete the statement \( \frac{4}{6}=\frac{}{12} \),\( \frac{4}{6}=\frac{2}{12} \),\( \frac{4}{6}=\frac{4}{12} \),\( \frac{4}{6}=\frac{10}{12} \),\( \frac{4}{6}=\frac{8}{12} \),Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,Does not understand equivalent fractions,Believes equivalent fractions are formed with addition not multiplication,nan
339,Recognise and name a term,Writing Expressions,D,Which of the following is the most appropriate word to describe \( 3 g \) in this: \( 6-3 g \),Variable,Expression,Equation,Term,Confuses a term with a variable,Confuses an expression with a term,Confuses a term with an equation,nan
340,"Reflect an object or a point in a vertical line with the line of reflection given as an equation, where the line of reflection lies on the edge or outside the object",Reflection,A,"The triangle is reflected in the \( y \)-axis
What are the new coordinates of point \( P \) ? ![A set of axes: x-axis from -5 to 5, y-axis from -2 to 2. Three points are plotted and joined to make a triangle: (2, -2), (4, -2), (3, -1). Point (3, -1) is labelled with the letter ""P"". ]()","\( (-3,-1) \)","\( (0,-1) \)","\( (-2,-1) \)","\( (3,-1) \)",nan,Fails to reflect across mirror line,Fails to reflect across mirror line,Fails to reflect across mirror line
341,"Reflect an object or a point in a vertical line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",Reflection,C,"![A grid of 7 squares across and 7 squares up. A red vertical line goes from the bottom to the top of the grid, it is 4 squares left from the edge of the grid. An orange rectangle (3 squares width and 2 squares height) is drawn to the left of the red line, with its right-hand side on the red line.  The bottom side of the rectangle is 3 squares up from the bottom of the grid. The top right corner of the rectangle is marked with the letter P, which is 5 squares up from the bottom of the grid on the red line. The bottom right corner of the rectangle is marked with the letter Q, which is 3 squares up from the bottom of the grid on the red line. ]() Tom and Katie are discussing reflections

Tom says if you reflect the rectangle in the vertical line, Point \( P \) stays in the same position

Katie says if you reflect the rectangle in the vertical line, Point \( Q \) stays in the same position
Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,nan,nan,nan,Does not understand that a point on the line of reflection will stay the same when reflected 
342,Identify obtuse angles,"Types, Naming and Estimating",C,Which of the following is an obtuse angle?,\( 85^{\circ} \),\( 270^{\circ} \),\( 110^{\circ} \),\( 180^{\circ} \),Does not understand that an obtuse angle is between 90 and 180 degrees,Does not understand that an obtuse angle is between 90 and 180 degrees,nan,Believes 180 degrees is an obtuse angle
343,Identify a rectangle when presented non-conventionally,Naming Co-ordinates in 2D,A,What shape do you get if you join up the midpoints of the sides of this shape? ![An irregular quadrilateral drawn on a grid](),Parallelogram,Rhombus,Kite,Rectangle,nan,Does not remember that a rhombus has equal sides,Does not recognise the properties of a kite,Does not know the properties of a rectangle
344,Convert between m³ and cm³,Volume and Capacity Units,C,"\(
0.7 m^3 =\bigstar \,cm^3
\)

What should replace the star?",\( 70 \),\( 7000 \),\( 700000 \),\( 700 \),Does not cube the conversion factor when converting cubed units,nan,nan,nan
345,Round non-integers to the nearest 10,"Rounding to the Nearest Whole (10, 100, etc)",C,What is \( \mathbf{1 2 6 . 0 5} \) rounded to the nearest ten?,\( 100 \),\( 120 \),\( 130 \),\( 126 \),Rounds to the wrong degree of accuracy (rounds too little),Rounds down instead of up,nan,Rounds to the wrong degree of accuracy (rounds too much)
346,Convert ratios to fractions,Writing Ratios,D,"Kate and Isaac share some yoghurt in the ratio \( 2: 5 \).
Kate has \(_____\) of the total yoghurt
What fraction completes the sentence?",\( \frac{3}{2} \),\( \frac{3}{5} \),\( \frac{2}{5} \),\( \frac{2}{7} \),nan,nan,"When converting ratio to fractions, puts the other side of the ratio as the denominator rather than the total",nan
347,Substitute positive non-integer values into formulae involving powers or roots,Substitution into Formula,D,"Calculate the displacement \( (s) \), of a particle when initial velocity \( (u)=2.9 \mathrm{~ms}^{-1} \), final velocity \( (v)=3.5 \mathrm{~ms}^{-1} \), and the time \( (t) \) taken is \( 5.2 \) seconds. \( s=\frac{1}{2}(u+v) t \)",\( \begin{array}{c}s=\frac{1}{2}(2.9+3.5)+5.2 \\ s=8.4\end{array} \),\( \begin{array}{c}s=\frac{1}{2}(2.9+3.5+5.2) \\ s=5.8\end{array} \),\( \begin{array}{c}s=2.9+3.5+\left(\frac{1}{2} \times 5.2\right) \\ s=9\end{array} \),\( \begin{array}{c}s=\frac{1}{2}(2.9+3.5) \times 5.2 \\ s=16.64\end{array} \),Thinks two variables next to each other represent addition,Thinks two variables next to each other represent addition,nan,nan
348,Convert from years to days,Time,C,How many days in a non-leap year?,\( 350 \),\( 366 \),\( 365 \),\( 100 \),Thinks there are 50 weeks in a year,nan,nan,Does not know how many days are in a leap year
